C-ERVZEITPUNKT3-0;C-ERVAMSTVORHER4-0;C-ERVAMST4-0;C-ERVAGE5-0;C-ERVSEX1-0;F-ERV_STAT_HAUPT
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-90;ERVEXTAGE5-65;1;3
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-90;ERVEXTAGE5-65;2;3
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-10;ERVEXTAGE5-15;1;423781
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-10;ERVEXTAGE5-15;2;274431
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-10;ERVEXTAGE5-65;1;64
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-10;ERVEXTAGE5-65;2;29
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-15;1;177804
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-15;2;185808
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-65;1;109
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-65;2;57
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-15;1;13789
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-15;2;8135
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-65;1;246
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-65;2;26
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-50;ERVEXTAGE5-15;1;9584
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-50;ERVEXTAGE5-15;2;9332
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-15;1;285770
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-15;2;240137
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-65;1;197
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-65;2;94
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-15;1;20922
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-15;2;21499
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-65;1;16637
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-65;2;7630
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-15;1;8598
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-15;2;4329
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-65;1;18
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-65;2;7
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-15;1;402
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-15;2;18328
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-65;1;82211
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-65;2;55444
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-50;ERVEXTAGE5-15;1;24
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-50;ERVEXTAGE5-15;2;20
